date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:18	5907/5907	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1713%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-152x152.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-152x152.png	(from https://mymeticorereview.gr8.com/)
14:38:19	6961/6961	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1b31%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-180x180.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-180x180.png	(from https://mymeticorereview.gr8.com/)
14:38:19	1141/1141	---M--	200	added ('OK')	image/png	etag:%221dc09d84-475%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-32x32.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-32x32.png	(from https://mymeticorereview.gr8.com/)
14:38:20	6450/6450	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1932%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-194x194.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-194x194.png	(from https://mymeticorereview.gr8.com/)
14:38:20	3185/3185	---M--	200	added ('OK')	image/png	etag:%221dc09d84-c71%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-96x96.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-96x96.png	(from https://mymeticorereview.gr8.com/)
14:38:20	7945/7945	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1f09%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/android-chrome-192x192.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/android-chrome-192x192.png	(from https://mymeticorereview.gr8.com/)
14:38:20	617/617	---M--	200	added ('OK')	image/png	etag:%221dc09d84-269%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-16x16.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-16x16.png	(from https://mymeticorereview.gr8.com/)
14:38:20	4577/4577	---M--	200	added ('OK')	image/png	etag:%221dc09d84-11e1%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/mstile-144x144.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/mstile-144x144.png	(from https://mymeticorereview.gr8.com/)
14:38:21	925/925	---M-Z	200	added ('OK')	text/css	etag:W/%221dc09d84-39d%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/reset-styles.146b8ec4963fecae9c0d.css	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/javascripts/core/lps/dist/reset-styles.146b8ec4963fecae9c0d.css	(from https://mymeticorereview.gr8.com/)
14:38:21	26900/26900	---M-Z	200	added ('OK')	text/css	etag:W/%221dc09d84-6914%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/core-styles.51365b9560bf3abdc8cb.css	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/javascripts/core/lps/dist/core-styles.51365b9560bf3abdc8cb.css	(from https://mymeticorereview.gr8.com/)
14:38:21	31062/31062	---M-Z	200	added ('OK')	text/css	etag:W/%221dc09d84-7956%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/webform-styles.da452ed17aade0ce6acd.css	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/javascripts/core/lps/dist/webform-styles.da452ed17aade0ce6acd.css	(from https://mymeticorereview.gr8.com/)
14:38:21	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%226156d44f-dd1%22	https://us-as.gr-cdn.com/images/common/templates/landing/208/1/css/style.css	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/common/templates/landing/208/1/css/style.css	(from https://mymeticorereview.gr8.com/)
14:38:22	52590/52590	---M--	200	added ('OK')	image/gif	etag:%22dfdf9a6f844bb08c3da5b5f3080d76d0%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/ede74e94-dd85-4560-ab60-a655e7404263.gif	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/ede74e94-dd85-4560-ab60-a655e7404263.gif	(from https://mymeticorereview.gr8.com/)
14:38:22	60466/60466	---M--	200	added ('OK')	image/gif	etag:%22ce2b9bcf0a9582054be475e79b98a70e%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/5fdca850-c605-4daf-83e7-4671c5525a3a.gif	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/5fdca850-c605-4daf-83e7-4671c5525a3a.gif	(from https://mymeticorereview.gr8.com/)
14:38:23	70856/70856	---M--	200	added ('OK')	image/png	etag:%22fb655a61e8aa30ba8ea5b02602e43d00%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/a509f2d0-9f1a-4753-8a5f-5bb6a35cdb72.png	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/a509f2d0-9f1a-4753-8a5f-5bb6a35cdb72.png	(from https://mymeticorereview.gr8.com/)
14:38:23	55689/55689	---M--	200	added ('OK')	image/png	etag:%22a250c5131bad624f3eaa2d5675954cc2%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/8e640add-e8d6-4f76-b69d-01a16666ca7a.png	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/8e640add-e8d6-4f76-b69d-01a16666ca7a.png	(from https://mymeticorereview.gr8.com/)
14:38:23	256808/256808	---M--	200	added ('OK')	image/png	etag:%2203ff6334cb045bc435e9d3fe82c04ac0%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/96e4ec1d-dab7-4672-847e-a74c1ca5b488.png	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/96e4ec1d-dab7-4672-847e-a74c1ca5b488.png	(from https://mymeticorereview.gr8.com/)
14:38:23	41080/41080	---M--	200	added ('OK')	image/jpeg	etag:%22e2a5c571f247bb96c8ec3af0eae3b530%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/32973da4-4afe-41e9-a2a4-0c0b08c571d9.jpg	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/32973da4-4afe-41e9-a2a4-0c0b08c571d9.jpg	(from https://mymeticorereview.gr8.com/)
14:38:23	101074/101074	---M--	200	added ('OK')	image/png	etag:%22922a1993b9f4818af5925a4e7438f7a2%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/074d6121-16b4-4385-9e31-efc24815d480.png	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/074d6121-16b4-4385-9e31-efc24815d480.png	(from https://mymeticorereview.gr8.com/)
14:38:24	356478/356478	---M--	200	added ('OK')	image/png	etag:%22d9a35ef4f29f3edc43df252f086763f6%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/beca1c88-9ce8-498f-b0fb-ada9ddc3ce9d.png	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/beca1c88-9ce8-498f-b0fb-ada9ddc3ce9d.png	(from https://mymeticorereview.gr8.com/)
14:38:24	19665/19665	---M--	200	added ('OK')	image/gif	etag:%22989b6cd33149f347601fd173964eb587%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/413eb415-c741-4a79-bb59-dee1b3101cb5.gif	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/413eb415-c741-4a79-bb59-dee1b3101cb5.gif	(from https://mymeticorereview.gr8.com/)
14:38:24	226859/226859	---M--	200	added ('OK')	image/gif	etag:%2254a4a8d3acaa752cbd0a33145c6b318b%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/00c4ee06-4fe9-4338-a5ba-34cd3ba4a731.gif	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/00c4ee06-4fe9-4338-a5ba-34cd3ba4a731.gif	(from https://mymeticorereview.gr8.com/)
14:38:24	371792/371792	---M--	200	added ('OK')	image/png	etag:%22b285c4e661771aa172206a0fe5446eb6%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/18e6a54b-496b-4cf4-81e3-b583e121d993.png	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/18e6a54b-496b-4cf4-81e3-b583e121d993.png	(from https://mymeticorereview.gr8.com/)
14:38:24	73010/73010	---M--	200	added ('OK')	image/png	etag:%22fd60fa482056c244b6d6f3939275cdf4%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/522bd212-791a-4d67-a621-e18943559134.png	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/522bd212-791a-4d67-a621-e18943559134.png	(from https://mymeticorereview.gr8.com/)
14:38:25	5242/5242	---M--	200	added ('OK')	image/png	etag:%22878c876ca469ee6e1f8959fd01f3cc92%22	https://us-ms.gr-cdn.com/getresponse-MjhuQ/photos/5df6b6e5-8323-4727-ad08-ebdf8d16749b.png	C:/Users/91701/Desktop/altaibalance/meticore/us-ms.gr-cdn.com/getresponse-MjhuQ/photos/5df6b6e5-8323-4727-ad08-ebdf8d16749b.png	(from https://mymeticorereview.gr8.com/)
14:38:25	302309/302309	---M--	200	added ('OK')	image/png	etag:%221dc09d84-49ce5%22	https://us-as.gr-cdn.com/images/lps/img/image_placeholder.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/lps/img/image_placeholder.png	(from https://mymeticorereview.gr8.com/)
14:38:26	6131/6131	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2003%20Jan%202022%2009:08:26%20GMT	https://ga.getresponse.com/script/ga.js?grid=sBDcBWURRdXALA3c%3D	C:/Users/91701/Desktop/altaibalance/meticore/ga.getresponse.com/script/gaea94.js	(from https://mymeticorereview.gr8.com/)
14:38:26	5173/5173	---M-Z	200	added ('OK')	application/javascript	etag:W/%221dc09d84-1435%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/manifest.86c981ff4636248e3a87.js	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/javascripts/core/lps/dist/manifest.86c981ff4636248e3a87.js	(from https://mymeticorereview.gr8.com/)
14:38:27	696030/696030	---M-Z	200	added ('OK')	application/javascript	etag:W/%221dc09d84-a9ede%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/vendor.chunk.0903499cc14e68e2de15.js	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/javascripts/core/lps/dist/vendor.chunk.0903499cc14e68e2de15.js	(from https://mymeticorereview.gr8.com/)
14:38:27	979428/979428	---M-Z	200	added ('OK')	application/javascript	etag:W/%221dc09d84-ef1e4%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/show.chunk.acbde82281d32d75a5eb.js	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/javascripts/core/lps/dist/show.chunk.acbde82281d32d75a5eb.js	(from https://mymeticorereview.gr8.com/)
14:38:28	25333/25333	---M--	200	added ('OK')	image/png	etag:%221dc09d84-62f5%22	https://us-as.gr-cdn.com/images/core/tools/form/phone.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/core/tools/form/phone.png	(from https://us-as.gr-cdn.com/javascripts/core/lps/dist/webform-styles.da452ed17aade0ce6acd.css)
